Functional Module,KO,Gene,Enzyme,EC Number,Specific Substrate,Substrate Category,Functional Role
Carbohydrate hydrolysis,K01176,amyA,Alpha-amylase,3.2.1.1,Starch / Glycogen,Polysaccharides,Starch hydrolysis
Carbohydrate hydrolysis,K01198,amyX,Alpha-amylase,3.2.1.1,Starch / Glycogen,Polysaccharides,Starch hydrolysis
Carbohydrate hydrolysis,K01187,malZ,Alpha-glucosidase,3.2.1.20,Maltooligosaccharides,Polysaccharides,Oligosaccharide hydrolysis
Carbohydrate hydrolysis,K01190,malQ,4-alpha-glucanotransferase,2.4.1.25,Maltodextrins,Polysaccharides,Starch degradation
Carbohydrate hydrolysis,K05349,pulA,Pullulanase,3.2.1.41,Pullulan / Starch,Polysaccharides,Debranching enzyme
Carbohydrate hydrolysis,K01200,glgX,Glycogen debranching enzyme,3.2.1.-,Glycogen,Polysaccharides,Glycogen degradation
Lactic acid fermentation,K01610,ldh,L-lactate dehydrogenase,1.1.1.27,Pyruvate / L-lactate,Organic acids,L-lactate production
Lactic acid fermentation,K00016,ldhA,D-lactate dehydrogenase,1.1.1.28,Pyruvate / D-lactate,Organic acids,D-lactate production
Organic acid utilization,K03778,lldD,L-lactate dehydrogenase (quinone),1.1.2.3,L-lactate,Organic acids,L-lactate oxidation
Organic acid utilization,K00101,dld,D-lactate dehydrogenase,1.1.1.28,D-lactate,Organic acids,D-lactate oxidation
Organic acid utilization,K00467,lldP,Lactate permease,-,Lactate,Organic acids,Lactate transport
Acetate production,K00925,ackA,Acetate kinase,2.7.2.1,Acetyl phosphate,Organic acids,Acetate production (SCFA)
Acetate production,K01512,pta,Phosphate acetyltransferase,2.3.1.8,Acetyl-CoA,Organic acids,Acetate production (SCFA)
Organic acid utilization,K00132,acs,Acetyl-CoA synthetase,6.2.1.1,Acetate,Organic acids,Acetate assimilation / activation
Organic acid utilization,K00625,eutD,Phosphotransacetylase,2.3.1.8,Acetyl-CoA,Organic acids,Acetate metabolism
Butyrate production,K00929,buk,Butyrate kinase,2.7.2.7,Butyryl phosphate,Organic acids,Butyrate production
Butyrate production,K00634,ptb,Phosphate butyryltransferase,2.3.1.19,Butyryl-CoA,Organic acids,Butyrate production
Butyrate production,K01034,atoA,Acetate CoA-transferase subunit A,2.8.3.-,Acetoacetyl-CoA,Organic acids,SCFA metabolism
Butyrate production,K01035,atoD,Acetate CoA-transferase subunit B,2.8.3.-,Acetoacetyl-CoA,Organic acids,SCFA metabolism
